camera_id,topdown_id,cam_latitude,cam_longitude,station_id,station_latitude,station_longitude
C01504,C01504,60.536727,24.235601,1052,60.536835,24.235628
C01507,C01507,59.856454,23.021452,1014,59.856517,23.021749
C01521,C01521,60.199721,24.809299,1055,60.20006,24.810269
C01522,C01522,60.186893,24.808657,1055,60.20006,24.810269
C01523,C01523,60.247251,25.06072,1004,60.251833,25.065093
C01536,C01536,60.621867,25.862399,1059,60.622145,25.862316
C01538,C01538,60.618436,26.199342,1037,60.615796,26.172861
C01622,C01622,59.982241,23.435554,1053,59.980964,23.402098
C01624,C01624,60.447062,24.51344,1166,60.458818,24.527783
C01673,C01673,60.699258,26.302931,1070,60.699375,26.302983
C01713,C01713,60.426274,25.124371,1005,60.426274,25.124371
C02512,C02512,60.372046,23.663891,2062,60.372046,23.663891
C02522,C02522,60.471645,22.361207,2015,60.467151,22.382762
C02525,C02525,61.150155,21.569286,2090,61.138804,21.545124
C02563,C02563,60.459147,21.983758,2124,60.459147,21.983758
C02572,C02572,60.172839,23.147451,2018,60.173689,23.148542
C02574,C02574,61.943607,21.624488,2026,61.943607,21.624488
C02588,C02588,61.800246,22.290034,2014,61.800246,22.290034
C03504,C03504,60.886259,26.819304,3049,60.886259,26.81947
C03518,C03518,61.869682,28.905753,6023,61.879312,28.854191
C03524,C03524,60.463908,26.921338,3014,60.463926,26.921375
C03525,C03525,61.229996,28.856199,5004,61.229996,28.856199
C03531,C03531,60.885055,26.765977,3049,60.886259,26.81947
C03558,C03558,61.071041,28.307574,5008,61.071963,28.310615
C03565,C03565,61.022307,28.395891,3012,61.038441,28.363533
C03570,C03570,61.04087,28.359564,3012,61.038441,28.363533
C03572,C03572,61.034965,28.115215,3036,61.036434,28.1243
C03574,C03574,61.066323,28.293074,5008,61.071963,28.310615
C03576,C03576,60.75853,27.347935,5013,60.777388,27.350013
C03579,C03579,61.419383,29.340937,3089,61.419383,29.340937
C03584,C03584,60.509958,26.918987,3006,60.501096,26.883019
C03587,C03587,60.913263,26.179105,5009,60.913218,26.179069
C03588,C03588,60.624956,26.921476,5012,60.624956,26.921476
C03663,C03663,60.934604,27.664768,5007,60.934604,27.664768
C03672,C03672,60.569293,27.088203,3002,60.569293,27.088203
